jugador_id;nombre;equipo;posicion;nacionalidad;temporada;partidos;minutos;goles;asistencias;contrib;xg;xa;salario_eur;goles_por90;asistencias_por90;contrib_por90;xg_por90;xa_por90
1;Jugador_001;Equipo_14;MID;NED;2022/23;28;2375;0;1;1;3,2497511617538377;9,413081806372547;852483,0;0,0;0,037894736842105266;0,037894736842105266;0,12314846507698754;0,35670625792569655
1;Jugador_001;Equipo_14;MID;NED;2023/24;25;2043;0;4;4;2,8776131023456184;9,944861582656978;852483,0;0,0;0,1762114537444934;0,1762114537444934;0,12676709701963076;0,43809962919193735
2;Jugador_002;Equipo_05;DEF;URU;2022/23;25;2068;2;1;3;7,151313733471325;4,71062447408892;704885,0;0,08704061895551257;0,043520309477756286;0,13056092843326886;0,3112273868532008;0,20500783494584274
2;Jugador_002;Equipo_05;DEF;URU;2023/24;27;2327;1;0;1;3,7426820803606495;7,4436493900825855;704885,0;0,03867640739149119;0,0;0,03867640739149119;0,14475349687686226;0,287893616290259
3;Jugador_003;Equipo_12;MID;FRA;2022/23;23;1910;1;2;3;5,121254365436833;9,4834322005908;1006814,0;0,04712041884816755;0,0942408376963351;0,14136125654450263;0,24131565072739006;0,44686329741003766
3;Jugador_003;Equipo_12;MID;FRA;2023/24;22;1886;4;2;6;6,754114751244032;8,710180265150948;1006814,0;0,19088016967126195;0,09544008483563098;0,2863202545068929;0,32230664242415846;0,41565017171982255
4;Jugador_004;Equipo_10;GK;ITA;2022/23;35;3023;0;0;0;5,0919684875822435;6,206641595497078;963864,0;0,0;0,0;0,0;0,15159681239907438;0,18478258140745518
4;Jugador_004;Equipo_10;GK;ITA;2023/24;35;2923;0;0;0;8,653726013062752;7,22617364770519;963864,0;0,0;0,0;0,0;0,2664506812095955;0,2224959385198314
5;Jugador_005;Equipo_14;MID;FRA;2022/23;28;2164;1;8;9;5,3584174853454645;15,911275721985941;933859,0;0,041589648798521256;0,33271719038817005;0,3743068391866913;0,22285470133137328;0,6617443692138331
5;Jugador_005;Equipo_14;MID;FRA;2023/24;21;1758;1;4;5;3,589571443272828;9,675966814000178;933859,0;0,051194539249146756;0,20477815699658702;0,25597269624573377;0,18376645614024717;0,49535666283277363
6;Jugador_006;Equipo_08;FWD;ESP;2022/23;26;2106;7;3;10;14,3558641534134;8,100767981141345;1242330,0;0,29914529914529914;0,12820512820512822;0,42735042735042733;0,6134984680945897;0,34618666586074126
6;Jugador_006;Equipo_08;FWD;ESP;2023/24;29;2352;11;3;14;19,13428745398332;7,450163957951792;1242330,0;0,42091836734693877;0,11479591836734693;0,5357142857142857;0,7321793668616066;0,28508280451346146
7;Jugador_007;Equipo_06;MID;GER;2022/23;28;2336;4;2;6;6,945969284563962;11,369194993003411;880273,0;0,1541095890410959;0,07705479452054795;0,23116438356164382;0,26761011798405676;0,43802549202496016
7;Jugador_007;Equipo_06;MID;GER;2023/24;25;2036;1;5;6;4,43761702699778;13,214552317649954;880273,0;0,04420432220039292;0,22102161100196463;0,26522593320235754;0,19616185286335963;0,5841403283833476
8;Jugador_008;Equipo_19;DEF;ITA;2022/23;30;2441;0;2;2;2,8938590925678818;9,251299794833397;810534,0;0,0;0,0737402703809914;0,0737402703809914;0,106696975965223;0,34109667412331246
8;Jugador_008;Equipo_19;DEF;ITA;2023/24;21;1711;0;0;0;0,6669288233341296;5,564628172828813;810534,0;0,0;0,0;0,0;0,035081001811847846;0,29270399506405215
9;Jugador_009;Equipo_19;DEF;URU;2022/23;31;2401;2;3;5;4,342364216707999;10,722642448727655;1100141,0;0,07496876301541025;0,11245314452311538;0,1874219075385256;0,16277083694448977;0,40193162031882085
9;Jugador_009;Equipo_19;DEF;URU;2023/24;24;1990;1;2;3;6,2609217399248855;6,651730939530842;1100141,0;0,04522613065326633;0,09045226130653267;0,135678391959799;0,28315726461971846;0,3008320525415959
10;Jugador_010;Equipo_18;DEF;URU;2022/23;27;2303;0;1;1;3,4758551051338733;7,339972576293112;1247592,0;0,0;0,03907946157186279;0,03907946157186279;0,1358345460104423;0,2868421762337734
