jugador_id;temporada;fecha_partido;jornada;minutos;goles;asistencias;tiros;pases_completados;entradas;intercepciones;amarilla;roja;xg;xa
1;2022/23;2022-08-01;1;65;0;0;1;77;1;2;0;0;0,4102513897917951;0,6227433787246959
1;2022/23;2022-08-08;2;87;0;0;3;64;1;0;0;0;0,0;0,09160542989234924
1;2022/23;2022-08-15;3;84;0;0;1;40;2;1;0;0;0,22152301206923508;0,28264505400884615
1;2022/23;2022-08-22;4;96;0;0;0;40;0;2;0;0;0,0;0,7512202333550653
1;2022/23;2022-09-05;6;83;0;0;0;66;2;2;0;0;0,0;0,0
1;2022/23;2022-09-19;8;67;0;0;0;37;0;1;0;0;0,15308289911763534;0,0
1;2022/23;2022-10-03;10;82;0;0;1;72;1;2;0;0;0,14960477720275955;0,0681767536782314
1;2022/23;2022-10-24;13;92;0;0;1;89;1;1;0;0;0,38000267762085427;0,07169880810487617
1;2022/23;2022-10-31;14;105;0;0;0;81;2;0;0;0;0,0;0,534133343235418
1;2022/23;2022-11-07;15;85;0;0;0;62;3;2;0;0;0,0;0,18890146173141847
1;2022/23;2022-11-14;16;88;0;0;1;52;1;3;0;0;0,3891078316869615;0,5944577440984027
1;2022/23;2022-11-21;17;84;0;0;2;47;1;1;0;0;0,10029211660849685;0,6592458418041486
1;2022/23;2022-12-05;19;83;0;0;2;33;2;1;0;0;0,0;0,12572403191734816
1;2022/23;2022-12-19;21;95;0;0;2;66;2;0;0;0;0,0;0,3340982808017901
1;2022/23;2022-12-26;22;93;0;0;1;41;1;1;0;0;0,48488410587508;0,41201163386782635
1;2022/23;2023-01-02;23;105;0;0;1;76;1;1;0;0;0,0;0,6213818745319001
1;2022/23;2023-01-09;24;70;0;0;0;36;1;0;1;1;0,0;0,09582936618400738
1;2022/23;2023-01-16;25;91;0;0;2;64;2;2;0;0;0,0;0,5764949722049624
1;2022/23;2023-01-30;27;74;0;0;1;50;3;2;0;0;0,028603204295370447;0,4984623425426912
1;2022/23;2023-02-06;28;95;0;0;0;56;1;2;0;0;0,0;0,2476472760984182
1;2022/23;2023-02-13;29;100;0;0;1;63;2;2;0;0;0,10901683025553176;0,40988478829824226
1;2022/23;2023-02-27;31;83;0;0;2;51;1;3;0;0;0,0562900476183151;0,0451135193387556
1;2022/23;2023-03-06;32;85;0;0;1;63;1;1;0;0;0,0;0,0
1;2022/23;2023-03-13;33;81;0;0;0;45;2;1;1;0;0,0;0,256004455282336
1;2022/23;2023-03-20;34;61;0;0;1;53;2;0;0;0;0,05903997042698718;0,0
1;2022/23;2023-03-27;35;76;0;0;0;65;1;0;0;0;0,0;0,454638393621285
1;2022/23;2023-04-03;36;73;0;0;0;47;2;1;0;0;0,41619383766362095;0,20993420758432196
1;2022/23;2023-04-10;37;92;0;1;1;46;1;2;1;0;0,2918584615211951;1,2610286154652115
2;2022/23;2022-08-01;1;80;0;0;0;50;3;1;0;0;0,5815952665766772;0,08128498087035077
2;2022/23;2022-08-08;2;78;0;0;0;31;2;2;0;0;0,0;0,0
2;2022/23;2022-08-15;3;63;0;0;0;42;2;2;0;0;0,23722961382947533;0,7660723966373238
2;2022/23;2022-08-29;5;91;0;0;0;48;4;1;0;0;0,0;0,0825351014803773
2;2022/23;2022-09-19;8;87;0;0;0;16;2;1;0;0;0,0;0,3568533440230012
2;2022/23;2022-10-03;10;84;0;0;1;57;2;2;0;0;0,0;0,03717187513911574
